날짜,지역명,지표,거래구분,값
2025-04-28,대구,가격지수,매매,101.2986
2025-05-05,대구,가격지수,매매,101.2732
2025-05-12,대구,가격지수,매매,101.2026
2025-05-19,대구,가격지수,매매,101.0955
2025-05-26,대구,가격지수,매매,101.0417
2025-06-02,대구,가격지수,매매,100.9874
2025-06-09,대구,가격지수,매매,100.9411
2025-06-16,대구,가격지수,매매,100.8615
2025-06-23,대구,가격지수,매매,100.8083
2025-06-30,대구,가격지수,매매,100.7613
2025-07-07,대구,가격지수,매매,100.7081
2025-07-14,대구,가격지수,매매,100.6598
2025-07-21,대구,가격지수,매매,100.5518
2025-07-28,대구,가격지수,매매,100.4612
2025-08-04,대구,가격지수,매매,100.3954
2025-08-11,대구,가격지수,매매,100.3511
2025-08-18,대구,가격지수,매매,100.3063
2025-08-25,대구,가격지수,매매,100.2528
2025-09-01,대구,가격지수,매매,100.2116
2025-09-08,대구,가격지수,매매,100.1524
2025-09-15,대구,가격지수,매매,100.0842
2025-09-22,대구,가격지수,매매,100.0175
2025-09-29,대구,가격지수,매매,99.9877
2025-10-13,대구,가격지수,매매,99.9629
2025-10-20,대구,가격지수,매매,99.9692
2025-10-27,대구,가격지수,매매,99.9511
2025-11-03,대구,가격지수,매매,99.9193
2025-11-10,대구,가격지수,매매,99.8958
2025-11-17,대구,가격지수,매매,99.8851
2025-11-24,대구,가격지수,매매,99.9096
2025-12-01,대구,가격지수,매매,99.9325
2025-12-08,대구,가격지수,매매,99.9665
2025-12-15,대구,가격지수,매매,99.9822
2025-12-22,대구,가격지수,매매,99.9898
2025-12-29,대구,가격지수,매매,100.0106
2026-01-05,대구,가격지수,매매,99.998
2026-01-12,대구,가격지수,매매,100.0
2026-01-19,대구,가격지수,매매,100.0179
2026-01-26,대구,가격지수,매매,100.0388
2026-02-02,대구,가격지수,매매,100.0266
2026-02-09,대구,가격지수,매매,100.0425
2026-02-23,대구,가격지수,매매,100.0622
2026-03-02,대구,가격지수,매매,100.0647
2026-03-09,대구,가격지수,매매,100.0808
2026-03-16,대구,가격지수,매매,100.0785
2026-03-23,대구,가격지수,매매,100.0694
2026-03-30,대구,가격지수,매매,100.0671
2026-04-06,대구,가격지수,매매,100.0654
2026-04-13,대구,가격지수,매매,100.0542
2026-04-20,대구,가격지수,매매,100.0401
2026-04-27,대구,가격지수,매매,100.0447
2026-05-04,대구,가격지수,매매,100.0497
2026-05-11,대구,가격지수,매매,100.0321
2026-05-18,대구,가격지수,매매,100.0171
2026-05-25,대구,가격지수,매매,100.0098
2026-06-01,대구,가격지수,매매,99.9958
2026-06-08,대구,가격지수,매매,100.0188
2026-06-15,대구,가격지수,매매,100.0258
